Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
2020101,2020,12/28/2020,Ansonia,20 BARTHOLOMEW AVE,103600,220000,0.4709,Residential,Single Family,,,,
200980,2020,05/24/2021,Danbury,5 NABBY RD B95,36500,87400,0.4176,Residential,Condo,,L08018-95,,
200093,2020,6/11/2021,Beacon Falls,1 WOODLAND PATH,0,507586,0,Residential,Condo,07 - Change in Property,,,
200974,2020,5/7/2021,Greenwich,101 WEST LYON FARM DRIVE,488180,875000,0.5579,Residential,Condo,,,,
20546,2020,05/17/2021,East Hartford,43 RIVERMEAD BLVD,16510,39900,0.4137,Residential,Condo,,MOBILE HOME,,POINT (-72.63556 41.7329)
20287,2020,12/29/2020,Hartford,190 ASHLEY ST,46445,210000,0.221166667,Residential,Single Family,,,,POINT (-72.69544 41.77516)
200002,2020,10/14/2020,Chaplin,56 LYNCH RD,122500,240000,0.5104,Residential,Single Family,,,,POINT (-72.1391 41.75777)
201294,2020,09/24/2021,Manchester,197 FERGUSON ROAD,129200,200000,0.646,Residential,Single Family,,,,
2000402,2020,09/29/2021,Bloomfield,6 BRENTWOOD DRIVE,128660,145300,0.8854,Residential,Single Family,14 - Foreclosure,,,
20086,2020,8/9/2021,Bolton,129 FRENCH RD,344400,660000,0.521818182,Residential,Single Family,07 - Change in Property,ADDED IN LAW INFO TO 2021 GRAND LIST,,POINT (-72.44853 41.74386)
20221,2020,12/18/2020,East Hartford,212 WOODYCREST DR,90330,162000,0.5575,Residential,Single Family,,,,POINT (-72.61395 41.73923)
20637,2020,06/21/2021,East Hartford,35 LONG HILL RD,92850,213750,0.4343,Residential,Single Family,,,,
200042,2020,11/9/2020,Essex,6 FIFE COURT,224000,400000,0.56,Residential,Single Family,,,,
200065,2020,11/2/2020,Guilford,360 COLONIAL RD,413910,905000,0.4573,Residential,Single Family,,,,
200173,2020,12/30/2020,Farmington,8027 BEN COURT,20890,29295,0.713,Residential,Single Family,17 - Two Towns,THIS IS THE SALE AMOUNT TO FARMINGTON DWELLING IN PLANVILLE 32 BEN COURT,,
201146,2020,03/31/2021,Griswold,136 COOK HILL RD,134680,218000,0.6177,Residential,Single Family,,,,
20015,2020,1/6/2021,Andover,71 BAUSOLA RD,165200,285000,0.579649123,Residential,Single Family,,,,POINT (-72.36058 41.7069)
20043,2020,03/15/2021,Lisbon,90 TOWN HOUSE RD,143550,308000,0.466,Residential,Single Family,,,,
200000362,2020,8/10/2021,Brookfield,105 GRAYS BRIDGE RD,911640,331250,2.752120755,Industrial,,08 - Part Interest,SOLD W/ 121 GRAYS BRIDGE,,POINT (-73.40224 41.43932)
200402,2020,4/8/2021,Glastonbury,63 FOX DEN RD,247000,399000,0.619,Residential,Single Family,,,,
200531,2020,01/25/2021,Danbury,21 BRIARWOOD DR,153900,317000,0.4854,Residential,Single Family,,K14079,,
200288,2020,02/16/2021,Groton,36 JOHL DR,155750,262000,0.5944,Residential,Single Family,,,,POINT (-72.05552 41.34174)
20099,2020,11/4/2020,Hartford,120 OTIS ST,45465,152500,0.2981,Residential,Single Family,,,,
200000325,2020,7/12/2021,Brookfield,14 CRESTVIEW DR,229540,450000,0.51,Residential,Single Family,,,,POINT (-73.39995 41.48965)
200269,2020,12/8/2020,Bristol,35 RUTH ST UN 8,62720,102000,0.6149,Residential,Condo,,,,POINT (-72.90771 41.69901)
200019,2020,10/20/2020,East Haddam,38 FOREST WAY,130340,372000,0.350376344,Residential,Single Family,,,SEASONAL WATERFRONT COTTAGE,POINT (-72.32933 41.51603)
200235,2020,01/26/2021,East Haven,37 GERRISH AVE,113250,235000,0.4819,Residential,Single Family,,,,POINT (-72.88038 41.27859)
201026,2020,6/7/2021,Danbury,36 OAKLAND AV,158200,450000,0.3515,Residential,Two Family,07 - Change in Property,RENOVATED / I11045,,
200334,2020,9/2/2021,Coventry,107 LAKEWOOD DR,135800,305000,0.4452,Residential,Single Family,,,,
200096,2020,10/30/2020,Manchester,115 MIDDLE TURNPIKE EAST,130600,281000,0.4647,Residential,Two Family,,,,POINT (-72.51774 41.78388)
200108,2020,11/18/2020,Farmington,140 SOUTH RD,219140,372000,0.589,Residential,Single Family,,,,
200234,2020,08/25/2021,East Windsor,115 MAIN ST,671240,1691429,0.396847872,Commercial,,,,,POINT (-72.54466 41.9162)
2020411,2020,09/14/2021,Berlin,374-376 NEW BRITAIN RD,140700,50250,2.8,Residential,Two Family,08 - Part Interest,,,
201097,2020,07/29/2021,Bristol,57 WALNUT ST,124320,252500,0.4923,Residential,Single Family,,,,POINT (-72.93805 41.68167)
200038,2020,10/16/2020,Glastonbury,49 ADDISON POND RD,113000,205250,0.5505,Residential,Condo,,,,
200415,2020,04/22/2021,Groton,446 NOANK RD,193830,395000,0.4907,Residential,Single Family,,,,
200576,2020,7/1/2021,Groton,119 MONUMENT ST,143220,290000,0.4938,Residential,Single Family,,,,
2000417,2020,7/12/2021,Cheshire,1123 WATERBURY RD U1B,34880,77000,0.4529,Residential,Condo,,,,POINT (-72.93114 41.52039)
200193,2020,7/7/2021,Canton,6 CEMETERY ROAD,158550,300000,0.5285,Residential,Single Family,,,,
200642,2020,4/1/2021,Bristol,1021 BURLINGTON AVE,110010,225000,0.4889,Residential,Single Family,,,,
20408,2020,3/10/2021,East Hartford,886 OAK ST,122860,219900,0.5587,Residential,Single Family,,,,
20000161,2020,05/18/2021,Granby,58 HEATHER LN,214620,347000,0.6185,Residential,Single Family,,,,POINT (-72.81989 42.02382)
20177,2020,11/24/2020,Hartford,47 FAIRMOUNT ST,54320,218000,0.2491,Residential,Two Family,,,,POINT (-72.68119 41.77741)
200167,2020,12/7/2020,Groton,279 COLONEL LEDYARD HWY & 0 DO,246810,400000,0.617025,Residential,Single Family,28 - Use Assessment,"2 PARCELS-PA FARM/FOREST-ASSMT FOR 279 COL LED HWY=$246,040 & FOR 0 DOGWOOD-VACANT LAND=$770",,
20078,2020,06/14/2021,Lisbon,147 KIMBALL RD,76620,175000,0.4378,Residential,Single Family,,A0016200,,POINT (-72.01243 41.63741)
200438,2020,07/19/2021,Madison,18 RICHBOROUGH RD,426200,901000,0.473,Residential,Single Family,,,,
200227,2020,3/10/2021,East Lyme,37 LAUREL ST,284130,465000,0.611,Residential,Single Family,,,,
20024,2020,10/13/2020,Darien,688 BOSTON POST ROAD,605780,540000,1.1218,Commercial,,,,,POINT (-73.46658 41.08077)
200005,2020,10/1/2020,Bridgeport,28-30 SEDGEWICK ST,137830,52522,2.6242,Residential,Three Family,25 - Other,SOLD BELOW MARKET VALUE,,POINT (-73.19844 41.1912)
20195,2020,12/2/2020,Hartford,1050 CAPITOL AVE & 71 ORANGE S,412090,900000,0.4578,Apartments,,24 - Plottage,,,
200181,2020,6/8/2021,Mansfield,211 HUNTING LODGE RD,144400,365000,0.3956,Residential,Single Family,,,,
200254,2020,11/23/2020,Danbury,9 KINGSWOOD RD,174000,392000,0.443877551,Residential,Single Family,07 - Change in Property,D05018,COMPLETE REMODEL PER MLS  - INCLUDES 2 FULL BATHS,
200636,2020,02/25/2021,Danbury,18 WEST CROSS TR,18200,474260,0.0383,Residential,Condo,07 - Change in Property,NEW CONSTRUCTION / B16001-129,,
200759,2020,9/10/2021,Branford,75 LANPHIERS COVE CAMP,76200,22500,3.3866,Residential,Single Family,08 - Part Interest,COVE CAMP ONLY/NO LAND/FAMILY TRANSFER OF PART INTEREST,,
200371,2020,12/15/2020,Greenwich,29 HASSAKE ROAD,577290,1225000,0.4712,Residential,Single Family,,,,
200698,2020,3/8/2021,Greenwich,28 BOULDER BROOK ROAD,1581440,1900000,0.832336842,Residential,Single Family,25 - Other,NOT LISTED,,POINT (-73.60745 41.0723)
20079,2020,07/19/2021,Barkhamsted,82 TAYLOR RD,205870,415000,0.496072289,Residential,Single Family,28 - Use Assessment,"1977 Colonial, 1104 SFLA, + Stable, 6.28 AC, 3.1 AC Pasture",On 10/1/2020 there were still 3.1 Acres in PA490 - pasture,POINT (-73.03127 41.96241)
200038,2020,10/23/2020,Madison,828 GREEN HILL RD,170400,335000,0.5086,Residential,Single Family,,,,
200146,2020,11/4/2020,Bristol,21 RUSS LA,98420,179000,0.5498,Residential,Two Family,,,,POINT (-72.94662 41.6658)
200388,2020,07/27/2021,Killingly,8 ACADEMY ST,207900,315000,0.66,Apartments,,,,,
200291,2020,11/30/2020,Greenwich,267 RIVERSIDE AVENUE,2699550,4600000,0.5868,Residential,Single Family,,,,POINT (-73.57925 41.02904)
201095,2020,06/21/2021,Danbury,40 TANGLEWOOD DR,375900,578000,0.6503,Residential,Single Family,,B12031,,
200758,2020,08/13/2021,Glastonbury,37 KINGSBURY LN,154900,281000,0.5512,Residential,Single Family,,,,
200749,2020,5/3/2021,Bristol,912 TERRYVILLE AVE,353290,351000,1.0065,Commercial,,,,,
2020078,2020,12/1/2020,Berlin,34 EVERGREEN COURT,218600,345000,0.6336,Residential,Single Family,,,,
200010,2020,10/26/2020,Kent,37 IRON MOUNTAIN RD,441600,860000,0.5134,Residential,Single Family,,,,
200184,2020,4/5/2021,Colchester,8 WESTON TERR,60300,80000,0.7537,Vacant Land,,03 - Inter Corporation,,,POINT (-72.3154 41.55563)
200029,2020,11/17/2020,Columbia,76 ERDONI ROAD,195200,340000,0.5741,Residential,Single Family,,,,
200134,2020,08/17/2021,Beacon Falls,56 POND VIEW CIRCLE,0,301424,0,Residential,Condo,07 - Change in Property,New Construction,,
2020305,2020,8/10/2021,Ansonia,26 SMITH ST,88300,100000,0.883,Residential,Single Family,03 - Inter Corporation,,,
200240,2020,01/27/2021,East Haven,140 THOMPSON ST #19B,73150,86000,0.8505,Residential,Condo,,,,
200468,2020,01/19/2021,Manchester,36 FRECHETTE CIRCLE,227000,329900,0.688,Residential,Single Family,,,,POINT (-72.53905 41.75209)
200730,2020,08/31/2021,Branford,71 MIDWOOD RD,268100,482500,0.5556,Residential,Single Family,,,,POINT (-72.84449 41.26146)
20896,2020,06/18/2021,Hartford,946 WETHERSFIELD AVE #0004,9923,32000,0.31,Residential,Condo,,,,
200464,2020,08/16/2021,Avon,49 WILD WOOD DRIVE,529630,945000,0.5604,Residential,Single Family,,,,POINT (-72.89623 41.79947)
20147,2020,05/24/2021,Burlington,58 ALPINE DR,15470,25840,0.598684211,Vacant Land,,17 - Two Towns,SMALL PORTION OF VAC LAND AS PART OF FARMINGTON SALE,,POINT (-72.90402 41.74891)
200247,2020,02/26/2021,Farmington,23 BRIARWOOD RD,162150,140000,1.1582,Residential,Single Family,25 - Other,SPOUSE DIED SOLD TO FLIPPER (WHO GOT A MORTGAGE FOR $ 240000),,POINT (-72.86433 41.74941)
200042,2020,10/9/2020,Bristol,535 TERRYVILLE AVE,118640,150000,0.790933333,Residential,Single Family,14 - Foreclosure,FORECLOSURE SALE OUT,,POINT (-72.96842 41.68071)
200511,2020,6/7/2021,Groton,98 LEAFWOOD LN S179,71960,162000,0.444197531,Residential,Condo,,,,
200060,2020,10/20/2020,Enfield,1693 KING ST,94250,180000,0.5236,Residential,Single Family,,,,POINT (-72.60367 41.93855)
200176,2020,7/6/2021,Essex,20 MEADOW WOODS RD,142800,135000,1.0577,Residential,Single Family,14 - Foreclosure,,,
200302,2020,12/2/2020,Greenwich,67 CIRCLE DRIVE,1276030,1900000,0.6715,Residential,Single Family,,,,POINT (-73.61075 41.02672)
20896,2020,9/9/2021,East Hartford,441 MAIN ST #409,29040,44000,0.66,Residential,Condo,,65 BRIARWOOD RD,,POINT (-72.64046 41.75264)
200020,2020,10/26/2020,Hebron,44 JAN DR,155730,276000,0.5642,Residential,Single Family,,,,
201063,2020,8/2/2021,Hartford,26 DOROTHY ST,227220,335000,0.6782,Apartments,,,,,POINT (-72.71225 41.75709)
200403,2020,12/24/2020,Danbury,136 PEMBROKE RD 5-44,118100,217500,0.5429,Residential,Condo,,G05015-44,,POINT (-73.47537 41.45338)
200778,2020,09/15/2021,Branford,119 ELM ST,172100,345900,0.4975,Residential,Single Family,,,,
200189,2020,04/28/2021,Coventry,1810 SOUTH ST,134600,272500,0.4939,Residential,Single Family,,,,POINT (-72.3285 41.76518)
200381,2020,03/30/2021,Branford,230 EAST MAIN ST,413400,490000,0.8436,Commercial,,25 - Other,NOT ON MARKET,,
201267,2020,06/22/2021,Cromwell,49 HILLSIDE ROAD,187740,346500,0.5418,Residential,Single Family,,,,
20150,2020,12/22/2020,Bethel,117 HOYTS HILL,189140,255000,0.74172549,Residential,Single Family,26 - Rehabilitation Deferred,,,
20434,2020,8/2/2021,Bethel,27B BENEDICT ROAD,102155,519900,0.1964,Residential,Single Family,07 - Change in Property,,,
20304,2020,1/4/2021,Hartford,351 HILLSIDE AVE,72800,314900,0.2311,Residential,Three Family,,,,
200099,2020,01/15/2021,East Haddam,PARKER RD,680,35000,0.0194,Vacant Land,,28 - Use Assessment,,,
200117,2020,07/19/2021,Goshen,42 TOWN HILL RD,380530,725000,0.5248,Residential,Single Family,,,,
20152,2020,6/3/2021,Burlington,103 PUNCH BROOK RD,244930,351000,0.6978,Residential,Single Family,10 - A Will,ESTATE SALE,,
200058,2020,10/19/2020,Enfield,108 TOWN FARM RD,144020,275000,0.5237,Residential,Single Family,,,,
20055,2020,10/28/2020,Farmington,26 KENT LA,235840,425000,0.5549,Residential,Single Family,,,,
20758,2020,5/10/2021,Hartford,216 WESTMINISTER ST,50225,180000,0.279,Residential,Single Family,,,,
201114,2020,8/9/2021,Manchester,315 HENRY STREET,165500,317000,0.522,Residential,Single Family,,,,
201341,2020,09/17/2021,Griswold,106 EAST MAIN ST,117880,240000,0.4911,Residential,Single Family,,,,
200481,2020,08/30/2021,East Lyme,37 W MAIN ST #42,120750,216000,0.559,Residential,Condo,,,,POINT (-72.20752 41.32189)
200146,2020,5/11/2021,Canton,17 TRAILSEND DRIVE,160830,320000,0.5025,Residential,Single Family,,,,
200053,2020,08/30/2021,Bridgewater,137 NEW MILFORD RD EAST,673100,1100000,0.6119,Industrial,,,,,
20105,2002,06/16/2003,Thomaston,CEDAR MT RD,100800,180000,0.56,,,,,,
2020332,2020,07/19/2021,Berlin,39 SUNSET LN,133100,271000,0.4911,Residential,Single Family,,,,POINT (-72.75236 41.61346)
200481,2020,2/5/2021,Bristol,30 PIERCE ST,96950,130000,0.7457,Residential,Single Family,,,,
201359,2020,8/12/2021,Danbury,26 FRANKLIN ST,204600,254000,0.8055,Residential,Three Family,,H13033,,POINT (-73.46036 41.39904)
200111,2020,08/27/2021,Columbia,4 BEAUDET TERRACE,158900,295000,0.5386,Residential,Single Family,,,,
201191,2020,9/7/2021,Hartford,11 MERRILL ST,70707,100000,0.707,Residential,Two Family,25 - Other,"NO MLS LISTING, NOT EXPOSED TO MARKET",,
200529,2020,07/13/2021,Farmington,8556 NEW BRITAIN AV,200550,340000,0.5898,Vacant Land,,,4 ACRES OF INDUSTRAIL LAND,,
200296,2020,02/23/2021,Groton,15 D ST,15820,29000,0.5455,Residential,Single Family,,MOBILE HOME,,
20431,2020,02/17/2021,Hartford,906 PARK ST,175280,270000,0.6491,Apartments,,25 - Other,BELOW MARKET,,
201247,2020,09/13/2021,Manchester,28 HOLLISTER STREET,145600,324000,0.4493,Residential,Two Family,,,,
200261,2020,06/24/2021,Coventry,68 CORNWALL DR,145100,326000,0.445,Residential,Single Family,,,,POINT (-72.3545 41.79752)
200146,2020,12/23/2020,Madison,12 LOVERS LN,344400,614000,0.5609,Residential,Single Family,,,,POINT (-72.584 41.27849)
201149,2020,08/24/2021,Hartford,204 CATHERINE ST,67143,230000,0.2919,Residential,Single Family,,,,
200541,2020,6/2/2021,Glastonbury,701 GOODALE HILL RD,471100,750000,0.6281,Residential,Single Family,,,,POINT (-72.50786 41.69312)
20000148,2020,01/22/2021,Brookfield,9 GEREG GLENN RD,386770,645000,0.5996,Residential,Single Family,,,,POINT (-73.42281 41.48588)
200162,2020,11/30/2020,Enfield,33 SOUTH RD,109860,215000,0.5109,Residential,Single Family,,,,
200169,2020,3/2/2021,Killingly,667 COOK HILL RD,148750,265100,0.5611,Residential,Single Family,,,,POINT (-71.85501 41.82706)
200299,2020,6/11/2021,Killingly,46 TAOS DR,132930,282500,0.4705,Residential,Single Family,,,,
20633,2020,04/14/2021,Hartford,273 FLATBUSH AVE,42700,195000,0.2189,Residential,Single Family,,,,
200259,2020,06/21/2021,Coventry,74 WOLF HILL RD,200,142500,0.0014,Vacant Land,,28 - Use Assessment,PA490,,POINT (-72.38064 41.80603)
200150,2020,05/24/2021,East Windsor,16 ELLSWORTH RD,113680,202000,0.5627,Residential,Single Family,,,,POINT (-72.56943 41.89187)
200030,2020,10/28/2020,Litchfield,156 GOODHOUSE RD,254730,506000,0.5034,Residential,Single Family,,,,POINT (-73.24001 41.77384)
200197,2020,06/28/2021,Litchfield,465 MAPLE ST,203460,172000,1.1829,Residential,Single Family,08 - Part Interest,,,
200455,2020,07/14/2021,Guilford,210 CHAFFINCH ISLAND RD,268140,825000,0.325,Residential,Single Family,,,,POINT (-72.6826 41.26628)
2000131,2020,12/23/2020,Cheshire,55 HIDDEN PLACE,281860,440000,0.6405,Residential,Single Family,,,,
200444,2020,1/5/2021,Danbury,14 HILLSIDE ST,325800,490000,0.6648,Residential,Two Family,,H15121,,
200593,2020,03/17/2021,Bristol,111 NELSON FARM RD,203630,420000,0.4848,Residential,Single Family,,,,POINT (-72.94098 41.70185)
201776,2020,09/28/2021,Greenwich,345 SHORE ROAD,1755110,3212500,0.5463,Residential,Single Family,,,,
20041,2020,2/2/2021,Ashford,14 TURNPIKE RD,142200,245000,0.5804,Residential,Single Family,,,,POINT (-72.17633 41.92048)
200074,2020,10/20/2020,Bristol,42 HARDWICK RD,100310,155000,0.6471,Residential,Single Family,25 - Other,ESTATE SALE,,POINT (-72.90703 41.68432)
200055,2020,3/5/2021,Harwinton,39 WOODCHUCK LANE,225530,427000,0.5281,Residential,Single Family,,,,
20034,2020,04/26/2021,Colebrook,4 RIVERTON ROAD,208800,325000,0.6424,Residential,Single Family,10 - A Will,,,
200407,2020,4/9/2021,Glastonbury,1862 CHALKER HILL RD,103500,45000,2.3,Vacant Land,,,,,
200067,2020,10/14/2020,Danbury,51 JOE'S HILL RD,321600,495000,0.6496,Residential,Single Family,,B13007,,POINT (-73.52825 41.40101)
20442,2020,06/28/2021,Darien,5 OVERBROOK LANE,861000,1770000,0.4864,Residential,Single Family,,,,
200155,2020,04/16/2021,Litchfield,1355 BANTAM RD,120650,212000,0.5691,Residential,Single Family,,,,POINT (-73.26978 41.70913)
200334,2020,03/15/2021,East Haven,173 RUSSO AVE #202,95120,212000,0.4486,Residential,Condo,,,,
201108,2020,06/23/2021,Danbury,27 CROWS NEST LA 11Q,103200,207610,0.497,Residential,Condo,,L15008-125,,
200072,2020,12/7/2020,East Haddam,24 COVE RD,92090,187000,0.4924,Residential,Single Family,,,,POINT (-72.47254 41.4913)
200131,2020,4/9/2021,Essex,21 BLAKE ST,139800,295000,0.473898305,Residential,Single Family,07 - Change in Property,,TOTAL RENOVATION PER MLS - SEE PREVIOUS SALE #200087,POINT (-72.44615 41.34963)
200601,2020,06/21/2021,Glastonbury,107 SHERWOOD DR,298000,508000,0.5866,Residential,Single Family,,,,POINT (-72.57666 41.6841)
200835,2020,05/28/2021,Manchester,82 FOLLY BROOK LANE,162500,290000,0.5603,Residential,Single Family,,,,
200223,2020,05/25/2021,Coventry,64 LAUREL TR,92900,135000,0.6881,Residential,Single Family,,,,
20098,2020,09/17/2021,Ashford,5 MAPLE DR,100800,245000,0.411428571,Residential,Single Family,22 - Money and Personal Property,"Waterfront Lake Chaffee, 1 BR cottage blt 1959",SOLD FULLY FURNISHED PER MLS,POINT (-72.19347 41.94076)
200047,2020,12/21/2020,East Windsor,178 DEPOT ST,130360,276900,0.4707,Residential,Single Family,,,,
200420,2020,07/21/2021,East Lyme,12 LANTERN LN,141540,267500,0.5291,Residential,Single Family,,,,POINT (-72.22167 41.32801)
201151,2020,08/19/2021,Manchester,175 HOMESTEAD STREET UNIT F6,37700,79900,0.4718,Residential,Condo,,,,POINT (-72.53093 41.78739)
20398,2020,3/5/2021,East Hartford,26 NORTHBROOK CT,83950,136000,0.6172,Residential,Condo,,,,POINT (-72.62376 41.79347)
2020352,2020,09/15/2021,Ansonia,13 FOREST AVE,180300,445000,0.4051,Residential,Four Family,,,,POINT (-73.08002 41.35763)
201080,2020,06/15/2021,Danbury,55 MILL PLAIN RD 13-3,127900,235000,0.5442,Residential,Condo,,D15004-82,,
201204,2020,5/3/2021,Cromwell,14F COUNTRY SQUIRE DRIVE,53970,109500,0.492876712,Residential,Condo,07 - Change in Property,UPDATE/REMOD NOT REFLECTED IN OUR RECORD,,
20071,2020,10/23/2020,Hartford,30 WINSHIP ST,54775,247000,0.2217,Residential,Two Family,,,,POINT (-72.67743 41.73787)
2020113,2020,1/12/2021,Ansonia,24 N SPRING ST,111600,264900,0.4212,Residential,Three Family,,NO LISTING AVAILABLE,,
200554,2020,01/28/2021,Greenwich,169 MASON STREET UN2B,326060,32385,10.0682,Residential,Condo,25 - Other,RELATED PARTIES,,
200837,2020,9/10/2021,Glastonbury,2369 NEW LONDON TPKE,256600,452369,0.5672,Residential,Single Family,,,,
200662,2020,07/30/2021,Branford,7B COMMONS,58500,114000,0.5131,Residential,Condo,,,,POINT (-72.76855 41.7506)
201411,2020,07/16/2021,Greenwich,44 SOUTH STANWICH ROAD,2079140,5050000,0.4117,Residential,Single Family,,,,
200609,2020,06/17/2021,Enfield,28 POWDER RIDGE RD,123960,250000,0.4958,Residential,Single Family,,,,POINT (-72.53867 41.98402)
2000316,2020,7/12/2021,Bloomfield,35 MILLS LANE,123410,200000,0.617,Residential,Single Family,,,,POINT (-72.74064 41.84001)
200451,2020,1/12/2021,Manchester,126 PEARL STREET,121200,219000,0.5534,Residential,Two Family,,,,POINT (-72.5151 41.77437)
20223,2020,12/9/2020,Hartford,62 OTIS ST,146580,300000,0.4886,Apartments,,,,4 FAMILY ASSESSED AS APARTMENTS,POINT (-72.67827 41.73986)
200577,2020,06/18/2021,Branford,Y01 SYLVAN PT YACHT CLUB,24000,40000,0.6,Commercial,,,YACHT SLIP,,
20057,2020,12/14/2020,Burlington,62 CHAROLAIS WAY,384720,650000,0.5918,Residential,Single Family,,,,POINT (-72.99209 41.76965)
20487,2020,08/31/2021,Bethel,515 COPPER SQUARE DRIVE,212730,379900,0.5599,Residential,Condo,,,,POINT (-73.38432 41.41657)
200682,2020,4/7/2021,Manchester,55 SCHOOL STREET,204600,420000,0.4871,Residential,Two Family,,,,
20095,2020,11/12/2020,Farmington,42 COTTAGE ST,117640,182000,0.646373626,Residential,Single Family,,,,
200055,2020,12/7/2020,Hebron,25 SENTINAL WOODS DR,219480,400000,0.5487,Residential,Single Family,,,,POINT (-72.42339 41.65791)
201744,2020,09/20/2021,Greenwich,857 LAKE AVENUE,6560190,9710000,0.6756,Residential,Single Family,,,,
200990,2020,7/7/2021,Manchester,156 SUMMIT STREET,112500,220000,0.5113,Residential,Single Family,,,,POINT (-72.51939 41.78215)
200253,2020,09/14/2021,Canton,134 WINTERBOURNE LANE,151380,285000,0.5311,Residential,Condo,,,,
200367,2020,12/16/2020,Manchester,406 WOODLAND STREET,92800,180000,0.5155,Residential,Single Family,,,,
2020077,2020,12/1/2020,Berlin,31 PATTERSON WAY,167900,262500,0.6396,Residential,Single Family,,,,
200153,2020,1/4/2021,East Lyme,71 BAY VIEW RD,116620,225000,0.5183,Residential,Single Family,,,,POINT (-72.23548 41.30696)
201414,2020,07/16/2021,Greenwich,26 ARTHER STREET,390460,840000,0.464833333,Residential,Single Family,15 - Government Agency,PURCHASED BY TOWN HOUSING AUTHORITY TO CONVERT INTO AFFORDABLE HOUSING UNITS,,POINT (-73.65099 41.02058)
200354,2020,03/17/2021,Branford,48 ORCHARD HEIGHTS,85900,145000,0.5924,Residential,Condo,,,,POINT (-72.78932 41.26708)
200068,2020,01/14/2021,Mansfield,399 SO EAGLEVILLE RD,105200,100000,1.052,Residential,Single Family,25 - Other,PREV OWNER HOLDS MORTGAGE - NOT ARMS LENGTH,,POINT (-72.27217 41.78876)
201587,2020,09/27/2021,Danbury,7 DAVIS ST 1,102300,190000,0.5384,Residential,Condo,,G13168-1,,
20298,2020,5/4/2021,Darien,2 CONTENTMENT ISLAND ROAD,2173290,2900000,0.7494,Residential,Single Family,,,,POINT (-73.45346 41.06173)
200058,2020,12/14/2020,Hebron,321 GILEAD ST,129610,200000,0.648,Residential,Single Family,,,,POINT (-72.38645 41.67257)
2020246,2020,06/17/2021,Ansonia,16 BERKSHIRE RD,108500,260000,0.417307692,Residential,Single Family,07 - Change in Property,,PER MLS HAS CENTRAL A/C AND FINISHED BASEMENT,POINT (-73.06929 41.33938)
201062,2020,12/7/2020,Griswold,107 DECEMBER DR,127400,235000,0.54212766,Residential,Single Family,,,,
2000519,2020,09/16/2021,Cheshire,2061 HIGHLAND AVE,181410,450000,0.403133333,Residential,Single Family,,,NO MLS,POINT (-72.89012 41.56217)
200470,2020,08/18/2021,East Lyme,16 COLONY RD,251860,460000,0.5475,Residential,Single Family,,,,
200349,2020,12/28/2020,Bristol,336 MATTHEWS ST LOT 2A,52080,112000,0.465,Vacant Land,,,,,POINT (-72.96541 41.68567)
200516,2020,05/13/2021,Enfield,28 CELTIC CT,183840,363000,0.5064,Residential,Single Family,,,,POINT (-72.55806 41.95041)
2000183,2020,4/5/2021,Bloomfield,35 PETERS ROAD,216230,200000,1.08115,Industrial,,08 - Part Interest,,,POINT (-72.73574 41.8573)
20003,2020,10/2/2020,Bolton,18 HEBRON RD,168800,245000,0.6889,Residential,Single Family,,,,POINT (-72.43284 41.76699)
200402,2020,03/19/2021,Enfield,5 HATHAWAY AVE,110700,210000,0.5271,Residential,Single Family,,,,
200403,2020,04/19/2021,East Haven,560 SILVER SANDS RD #403,151660,226000,0.671,Residential,Condo,,,,
200264,2020,09/23/2021,East Windsor,52 NORTON RD,146910,275000,0.5342,Residential,Single Family,,,,
200077,2020,12/4/2020,Bloomfield,7 MAPLE AVENUE,158200,275000,0.5752,Residential,Single Family,,,,POINT (-72.74927 41.82847)
200288,2020,07/26/2021,Colchester,351 NORWICH AVE,110300,250000,0.4412,Residential,Single Family,,,,POINT (-72.31999 41.57601)
20296,2020,1/4/2021,Hartford,12 MARTIN ST,51695,77000,0.671363636,Residential,Two Family,14 - Foreclosure,SALE OF A PREVIOUS FORECLOSURE,,POINT (-72.68108 41.78607)
200513,2020,09/17/2021,East Lyme,32 UPPER PATTAGANSETT RD #31,95620,217000,0.4406,Residential,Condo,,,,POINT (-72.22041 41.37064)
200090,2020,10/19/2020,Greenwich,16 BINNEY LANE,2079000,3250000,0.6396,Residential,Single Family,,,,
20257,2020,4/5/2021,Bethel,2 COLE LANE,390460,593000,0.6584,Residential,Single Family,,,,POINT (-73.40239 41.37947)
20053,2020,10/20/2020,Hartford,697 HILLSIDE AVE,22120,23000,0.9617,Vacant Land,,,,,
200415,2020,01/13/2021,Bristol,42 STAFFORD AVE,840350,2100000,0.4001,Apartments,,,,,
200376,2020,12/16/2020,Danbury,16 HOUSMAN ST,220500,414000,0.5326,Residential,Single Family,,I16218,,POINT (-73.44647 41.38207)
200019,2020,10/19/2020,Coventry,71 STANDISH RD,269900,450000,0.5997,Residential,Single Family,,,,
200009,2020,10/2/2020,Glastonbury,160 CLARK HILL RD,1157000,2250000,0.5142,Residential,Single Family,,,,POINT (-72.56058 41.64741)
200243,2020,12/3/2020,Bristol,6 BROADVIEW ST,130270,235000,0.5543,Residential,Single Family,,,,POINT (-72.93774 41.67842)
