brand,model,screen_size,color,harddisk,cpu,ram,OS,special_features,graphics,graphics_coprocessor,cpu_speed,rating,price
MSI,Stealth GS66 12UGS-025,15.6 Inches,Red,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1.0,833.34
ROKC,,14 Inches,Red,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,0.0,645.49
Luqeeg,Luqeegcbyo4agte7-11,15.6 Inches,,512 GB,,16 GB,Windows 11,"Fingerprint Reader,Keypad",Integrated,Intel UHD Graphics,,0.0,841.49
Lenovo,,11.6 Inches,,32 GB,AMD A4,4 GB,Chrome OS,HD Audio,Integrated,AMD Radeon R5,9120 GHz,,755.58
Dell,Dell Precision 7750 Laptop,17 Inches,Maroon,1 TB,Intel Core i7,32 GB,Windows 10 Pro,,Dedicated,NVIDIA RTX 3000 6GB GDDR6,,,1176.99
Lenovo,Chromebook,11.6 Inches,Black,,Celeron,4 GB,Chrome OS,Pen,Integrated,Intel HD Graphics 400,,5.0,1080.5
Dell,Latitude 3000,11.6 Inches,,128 GB,Unknown,4 GB,Windows 11,Anti-glare Screen,UHD Graphics,Intel UHD Graphics,,0.0,1302.32
ASUS,UX363JA-XB71T,13.3 Inches,Grey,512 GB,Intel Core i5,1 GB,Windows 10 Pro,"Anti-glare,Nanoedge Bezel",Integrated,,,3.5,1070.03
ROKC,,15.6 Inches,Burgundy,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,0.0,715.7
HP,,14 Inches,Burgundy,64 GB,Celeron N4000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,0.0,1100.2
HP,,15.6 Inches,Burgundy,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,0.0,1184.52
Dell,Dell Inspiron,15.6 Inches,Platinum Silver,256 GB,Core i5,8 GB,Windows 10 Home,Backlit Keyboard,Integrated,,,3.3,1210.2
Apple,MacBook Pro,14 Inches,Burgundy,1 TB,Apple M1,32 GB,Mac OS,,Integrated,,3.2 GHz,4.5,1230.09
Dell,XPS 13 9380,13.3 Inches,Crimson,128 GB,Core i5 Family,8 GB,Windows 10 Home,,Integrated,Intel UHD Graphics 620,,3.7,1037.44
Dell,XPS 9520 Laptop,15.6 Inches,Crimson,1000 GB,Core i7,64 GB,Windows 11 Pro,,Dedicated,NVIDIA GeForce RTX 3050,,5.0,766.77
Dell,Alienware X17 R2 Laptop,17.3 Inches,Scarlet,2000 GB,Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3080,,,1251.62
acer,Acer Swift X Laptop,14 Inches,Safari Gold,1 TB,AMD R Series,16 GB,Windows 10,Fingerprint,Dedicated,,,4.5,1154.68
Dell,Dell Latitude 5520 Laptop,15 Inches,Scarlet,512 GB,Core i7,16 GB,Windows 10 Pro,,Integrated,Intel Iris Xe Graphics,,5.0,839.21
ASUS,ROG Strix SCAR II,17.3 Inches,Scarlet,1000 GB,Core i7,16 GB,Windows 10 Home,,Dedicated,NVIDIA GeForce GTX 1060,,4.2,1222.77
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,978.5
ROKC,Ideapad 3,15.6 Inches,Burgundy,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,0.0,793.25
DELL,Inspiron,16 Inches,Red,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,0.0,1016.15
MSI,Vector GP66 12UGS-267,15.66 Inches,Maroon,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5.0,1044.9
MSI,Stealth GS66 12UGS-025,15.6 Inches,Maroon,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1.0,926.93
ROKC,,14 Inches,Red,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,0.0,962.43
Dell,Dell Latitude,14 Inches,,512 GB,Core i7 Family,16 GB,Windows 10 Pro,Anti-glare,Integrated,Intel Iris Xe Graphics,,,1408.95
Dell,Latitude E6410,14.1 Inches,Silver,160 GB,Core i5,4 GB,Windows 7,HD Audio,Integrated,,,4.1,826.42
Dell,G16 7620 Laptop,16 Inches,Burgundy,1000 GB,Core i9,32 GB,Windows 11 Pro,,Integrated,NVIDIA GeForce RTX 3070,,,789.72
ASUS,GM501GM-WS74,15.6 Inches,Burgundy,1256 GB,8032,16 GB,Windows 10 Pro,,"Integrated, Dedicated",NVIDIA GeForce GTX 1060,2.2 GHz,3.7,925.24
Dell,Latitude 5400,14 Inches,Black,128 GB,Core i5 Family,8 GB,Chrome OS,Anti-glare,Integrated,,,,885.58
Lenovo,ThinkBook 14 G4 ABA,14 Inches,,256 GB,Ryzen 5,16 GB,Windows 11,Anti-glare Screen,Radeon Graphics,AMD Radeon Graphics,,0.0,920.38
Dell,Latitude 5420 Laptop,14 Inches,Black,512 GB,Core i5,16 GB,Windows 10 Pro,Wifi & Bluetooth,Integrated,,,,478.32
Dell,Inspiron 5425,14 Inches,,512 GB,Ryzen 7,16 GB,Windows 11 Pro,"Backlit Keyboard,Fingerprint Reader",Integrated,,,,963.95
ROKC,,15.6 Inches,Maroon,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,0.0,744.66
HP,,14 Inches,Crimson,64 GB,Celeron N4000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,0.0,950.5
HP,,15.6 Inches,Burgundy,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,0.0,958.37
Dell,63P78,14 Inches,Red,256 GB,Intel Core i7,16 GB,Windows 10 Pro,,Integrated,,2.7 GHz,3.6,1175.82
Dell,Latitude 7000,14 Inches,Carbon Fiber,512 GB,Core i7,32 GB,Windows 10 Pro,Anti-glare Screen,Iris X Graphics,,,,655.41
Lenovo,Yoga 910,14 Inches,,256 GB,Core i7 7500U,8 GB,Windows 10,Backlit Keyboard,Integrated,Intel HD Graphics 620,,3.6,1154.37
MSI,GE66 Raider 10SGS-288,15.6 Inches,,,Core i7,32 GB,Windows 10 Home,Anti-glare,Dedicated,NVIDIA RTX 2080 Super,2.3 GHz,4.4,698.6
HP,HP Pavilion x360,14 Inches,Scarlet,256 GB,Core i5,8 GB,Windows 10,,Integrated,Intel UHD Graphics,1.6 GHz,4.4,1139.4
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,1321.7
ROKC,Ideapad 3,15.6 Inches,Scarlet,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,0.0,1385.95
DELL,Inspiron,16 Inches,Scarlet,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,0.0,512.66
MSI,Vector GP66 12UGS-267,15.66 Inches,Burgundy,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5.0,1100.19
MSI,Stealth GS66 12UGS-025,15.6 Inches,Crimson,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1.0,1114.77
ROKC,,14 Inches,Red,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,0.0,682.56
Lenovo,THINKPAD X1 CARBON 4TH GENERAT,14 Inches,Scarlet,,Core i7,8 GB,Windows 10 Pro 64-bit,,Dedicated,Intel HD Graphics 5500,2.6 GHz,,961.35
Dell,Dell Latitude 7310,13 Inches,Carbon Fiber,256 GB,Core i5-10310Y,16 GB,Windows 10 Pro,"Anti Glare,Fingerprint",Integrated,,,,436.21
MICROTELLA,Lenovo Thinkpad,15.6 Inches,Burgundy,256 GB,,8 GB,Windows 10,,Integrated,,,,885.06
Dell,Precision 7770 Laptop,17.3 Inches,Crimson,1000 GB,Core i7,32 GB,Windows 11 Pro,,Dedicated,NVIDIA RTX A3000,,5.0,1788.86
ROKC,,15.6 Inches,Maroon,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,0.0,779.69
HP,,14 Inches,Crimson,64 GB,Celeron N4000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,0.0,1326.13
HP,,15.6 Inches,Red,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,0.0,1341.12
Lenovo,ThinkBook 14 G4 ABA,14 Inches,,256 GB,Ryzen 5,8 GB,Windows 11,Anti-glare Screen,Radeon Graphics,AMD Radeon Graphics,,0.0,1437.94
Dell,Precision 7760 Laptop,17.3 Inches,Silver,2000 GB,Core i7,32 GB,Windows 11 Pro,Wifi & Bluetooth,Nvidia RTX A4000,,,5.0,769.41
Alienware,Dell Alienware Area 51M,17.3 Inches,,1512 GB,Unknown,32 GB,Windows 10,Anti-glare,Dedicated,NVIDIA Â®,,4.0,923.16
HP,ZBook Studio 16 G9,16 Inches,,1 TB,Core i7,32 GB,Windows 11 Pro,Anti-glare Screen,"GeForce RTX 3070 Ti,Iris Xe Graphics",NVIDIA Intel GeForce RTX 3070 Ti Iris Xe Graphics,,,1410.7
Gigabyte,AERO 17 XE5-73US738HP,17.3 Inches,Crimson,2 TB,Intel Core i7,16 GB,Windows 11 Pro,,Dedicated,NVIDIA GeForce RTX 3070 Ti,,3.5,513.29
Dell,Latitude 7420,14 Inches,Red,,Core i5,8 GB,Windows 10 Pro,,Integrated,,,2.6,1215.58
Dell,Dell XPS 15 7590 Laptop,15.6 Inches,Red,1 TB,Core i7,32 GB,Windows 10 Pro,,Dedicated,NVIDIA GeForce GTX 1650,,3.7,717.78
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,1203.93
ROKC,Ideapad 3,15.6 Inches,Maroon,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,0.0,1147.07
DELL,Inspiron,16 Inches,Crimson,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,0.0,1095.01
MSI,Vector GP66 12UGS-267,15.66 Inches,Scarlet,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5.0,894.63
MSI,Stealth GS66 12UGS-025,15.6 Inches,Maroon,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1.0,1113.37
ROKC,,14 Inches,Scarlet,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,0.0,1135.85
Dell,Alienware X17 R2 Laptop,17.3 Inches,Maroon,1000 GB,Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3080,,,1206.29
HP,HP Omen,17.3 Inches,Shadow Black,2 TB,Core i7 Family,64 GB,Windows 10 Pro,"High Definition Audio, Backlit Keyboard, Anti Glare Coating",Dedicated,,,,943.63
Lenovo,Lenovo Thinkpad,14 Inches,Crimson,,Core i5,8 GB,Windows 10 Pro,,Integrated,Intel UHD Graphics 620,1.7 GHz,1.0,1684.61
Lenovo,,15.6 Inches,Scarlet,1 TB,Core i3,8 GB,Windows 10,,,,2.2 GHz,3.8,1167.32
Lenovo,,,Black,1.92 TB,,,,Portable,,,,,696.88
Dell,XPS 9305 Laptop,13.3 Inches,Platinum Silver,256 GB,Core i5,8 GB,Windows 10 Home,Wifi & Bluetooth,Integrated,,,,934.18
Dell,Latitude 9330 2-in-1,13.3 Inches,Burgundy,1000 GB,Core i7,32 GB,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,,964.64
ROKC,,15.6 Inches,Red,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,0.0,961.34
HP,,14 Inches,Maroon,64 GB,Celeron N4000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,0.0,1211.26
HP,,15.6 Inches,Maroon,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,0.0,1618.08
Lenovo,T420,14 Inches,,320 GB,Core i5,4 GB,Windows 7,HD Audio,Integrated,ATI Mobility Radeon 7500,,3.9,1110.22
Dell,Dell Latitude 5520,15.6 Inches,Burgundy,2 TB,Intel Core i5,32 GB,Windows 11 Home,,Dedicated,Intel Iris Xe Graphics,,4.2,1380.87
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,466.55
ROKC,Ideapad 3,15.6 Inches,Scarlet,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,0.0,1033.83
DELL,Inspiron,16 Inches,Red,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,0.0,900.05
MSI,Vector GP66 12UGS-267,15.66 Inches,Burgundy,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5.0,1072.76
MSI,Stealth GS66 12UGS-025,15.6 Inches,Crimson,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1.0,1315.27
ROKC,,14 Inches,Maroon,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,0.0,973.49
Dell,Vostro 7620 Laptop,16 Inches,Scarlet,1000 GB,Core i7,24 GB,Windows 10 Pro,,Integrated,NVIDIA GeForce RTX 3050,,,1131.33
Gigabyte,AORUS 15G XC-8US2430SH,15 Inches,Black,512 GB,Intel Mobile CPU,32 GB,Windows 10 Home,Anti-glare,Dedicated,,,4.1,1225.64
Dell,Inspiron 3515 Laptop,15.6 Inches,Crimson,256 GB,AMD Ryzen 7,8 GB,Windows 11 Home,,Integrated,AMD Integrated Graphics,,,1293.96
Lenovo,ThinkPad T15p Gen 3,15.6 Inches,Black,512 GB,Core i7,16 GB,Windows 11,Anti-glare Screen,GeForce RTX 3050,,,0.0,1062.06
Lenovo,ThinkPad L14 Gen 3,14 Inches,,512 GB,Core i7,16 GB,Windows 11,Anti-glare Screen,UHD Graphics,Intel UHD Graphics,,0.0,1320.25
ASUS,ROG Strix G15,15.6 Inches,Red,512 GB,Corei7-10750H,16 GB,Windows 10 Home,,Dedicated,NVIDIA Â® GeForce RTXâ¢ 2060,,4.4,1073.57
ROKC,,15.6 Inches,Burgundy,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,0.0,1376.61
HP,,14 Inches,Scarlet,64 GB,Celeron N4000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,0.0,858.67
HP,,15.6 Inches,Burgundy,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,0.0,1048.73
Dell,Dell Latitude,14 Inches,Crimson,512 GB,Core i7,16 GB,Windows 10 Pro,,Integrated,Intel UHD Graphics 620,1.9 GHz,,1510.27
Dell,Dell XPS 15 9520,15.6 Inches,Red,512 GB,Core i7,16 GB,Windows 11 Pro,,Dedicated,NVIDIA GeForce RTX 3050 Ti,,,1049.7
HP,HP Omen 16 Gaming Laptop,16.1 Inches,Shadow Black,4 TB,Core i7 Family,64 GB,Windows 10 Pro,"HD Audio, Backlit Keyboard, Anti Glare Coating, Memory Card Slot, Numeric Keypad",Dedicated,,,,1187.26
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,1332.71
ROKC,Ideapad 3,15.6 Inches,Maroon,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,0.0,1187.48
DELL,Inspiron,16 Inches,Red,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,0.0,888.08
MSI,Vector GP66 12UGS-267,15.66 Inches,Red,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5.0,1218.55
MSI,Stealth GS66 12UGS-025,15.6 Inches,Maroon,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1.0,596.45
ROKC,,14 Inches,Red,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,0.0,802.55
Lenovo,ThinkPad X1 Yoga Gen 7,14 Inches,,512 GB,Core i7,16 GB,Windows 11,Information Not Available,Iris Xe Graphics,Intel Iris Xe Graphics,,0.0,632.19
Dell,Dell Precision 7760 Laptop,17 Inches,Scarlet,2 TB,Intel Core i9,64 GB,Windows 11 Pro,,Dedicated,NVIDIA RTX A3000 6GB GDDR6,,,1145.0
Latitude,E7440,14 Inches,,256 GB,Core i5,8 GB,Windows 10,Backlit Keyboard,Integrated,Intel HD Graphics,,2.7,1013.72
Dell,XPS 15 7590,15.6 Inches,Crimson,512 GB,,16 GB,Windows 10 Pro,,Dedicated,NVIDIA GeForce GTX 1650,4.5 GHz,3.6,1095.48
Dell,XPS 9520 Laptop,15.6 Inches,Red,2000 GB,Core i9,64 GB,Windows 11 Pro,,Integrated,NVIDIA GeForce RTX 3050 Ti,,,1114.5
Dell,Latitude 3340,13.3 Inches,,500 GB,Core i3,4 GB,Windows 7 Professional,Memory Card Slot,Integrated,Intel HD Graphics 4400,,3.3,1101.35
Lenovo,Lenovo ThinkBook Plus,13.3 Inches,Crimson,512 GB,Core i7,16 GB,Windows 10 Pro,,Integrated,Intel UHD Graphics,,1.0,758.87
ROKC,,15.6 Inches,Burgundy,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,0.0,738.71
HP,,14 Inches,Scarlet,64 GB,Celeron N4000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,0.0,1028.71
HP,,15.6 Inches,Maroon,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,0.0,860.9
Dell,Latitude 5430 Laptop,14 Inches,Maroon,1000 GB,Core i7,32 GB,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,,637.49
Dell,Latitude 5420,14 Inches,Red,1 TB,Core i5 Family,64 GB,Windows 11 Pro,,Integrated,Intel UHD Graphics,,4.5,943.6
HP,Dragonfly Folio G3,13.5 Inches,,512 GB,Core i7,16 GB,Windows 11 Pro,"Corning Gorilla Glass 7, Miracast Technology",Iris Xe Graphics,Intel Iris Xe Graphics,,,1163.02
Dell,Dell Latitude,12 Inches,Crimson,,Core i7 6600U,8 GB,Windows 10 Pro,,Integrated,Intel HD Graphics 520,2.6 GHz,4.0,1124.35
Lenovo,ThinkBook 13s G4 IAP,13.3 Inches,Maroon,256 GB,Core i5,8 GB,Windows 11 Pro,,Integrated,Intel,1.7 GHz,,1180.18
Dell,Latitude 9520,15 Inches,Red,512 GB,Core i7 Family,16 GB,Windows 10 Pro,,Integrated,Integrated Iris Xe Graphics,3 GHz,,1156.43
Dell,G15 5521 Laptop,15.6 Inches,Scarlet,1000 GB,Core i9,16 GB,Windows 11 Home,,Integrated,NVIDIA GeForce RTX 3070 Ti,,,1082.24
Dell,XPS 9530 Laptop,15.6 Inches,Red,2000 GB,Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 4070,,,1227.16
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,1066.11
ROKC,Ideapad 3,15.6 Inches,Crimson,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,0.0,1223.49
DELL,Inspiron,16 Inches,Maroon,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,0.0,777.82
MSI,Vector GP66 12UGS-267,15.66 Inches,Red,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5.0,463.27
MSI,Stealth GS66 12UGS-025,15.6 Inches,Red,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1.0,1013.25
ROKC,,14 Inches,Crimson,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,0.0,698.95
Dell,Precision 7770,17 Inches,,1.5 TB,Intel Core i7,64 GB,Windows 11 Pro,Anti-glare,Dedicated,NVIDIA GeForce RTX A4500,,,1168.43
Alienware,R1,15.6 Inches,Black,512 GB,Core i7 Family,16 GB,Windows 10,Anti-glare,Integrated,,,3.9,590.2
MSI,GS66 Stealth 10UE-498,15.6 Inches,Core Black,2 TB,Core i7 Family,32 GB,Windows 10 Home,Anti-glare,Dedicated,,,3.7,916.73
Dell,Dell Inspiron,14 Inches,Silver,256 GB,Core i7,16 GB,Windows 10,Backlit Kb,Integrated,,,,1032.67
ROKC,,15.6 Inches,Burgundy,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,0.0,820.84
HP,,14 Inches,Crimson,64 GB,Celeron N4000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,0.0,1077.5
HP,,15.6 Inches,Scarlet,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,0.0,1177.81
Lenovo,X230,12.5 Inches,Black,128 GB,Core i5,4 GB,Windows 7 Professional,Fingerprint Reader,Integrated,,,3.6,1041.33
Dell,Precision 7770,17.3 Inches,,512 GB,Core i7 Family,64 GB,Windows 10 Pro,Anti-glare,Dedicated,NVIDIA RTX A3000 12GB GDDR6,,,1177.35
Dell,Latitude 5520 Laptop,15.6 Inches,Black,256 GB,Core i5,16 GB,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,,1445.67
Dell,Dell XPS 13 9300,11.6 Inches,Burgundy,256 GB,Unknown,8 GB,Windows 10,,Integrated,Intel,3.6 GHz,3.0,560.23
Dell,XPS 9520 Laptop,15.6 Inches,Burgundy,512 GB,Core i7,16 GB,Windows 11 Pro,,Dedicated,NVIDIA GeForce RTX 3050,,,538.15
Dell,Latitude 7520 Laptop,15.6 Inches,Black,512 GB,Core i5,16 GB,Windows 10 Pro,Wifi & Bluetooth,Integrated,,,,1037.89
Dell,Latitude 5530 Laptop,15.6 Inches,Maroon,2000 GB,Core i7,32 GB,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,,1284.08
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,1069.14
ROKC,Ideapad 3,15.6 Inches,Red,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,0.0,1175.88
DELL,Inspiron,16 Inches,Maroon,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,0.0,771.95
MSI,Vector GP66 12UGS-267,15.66 Inches,Burgundy,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5.0,1231.45
MSI,Stealth GS66 12UGS-025,15.6 Inches,Burgundy,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1.0,991.52
ROKC,,14 Inches,Red,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,0.0,880.51
Dell,Latitude 3520,15.6 Inches,Maroon,256 GB,Core i5,16 GB,Windows 10 Pro,,Integrated,Intel Iris Xe Graphics,2.4 GHz,,452.9
Dell,Chromebook 11 3000,11.6 Inches,Black,,Celeron,4 GB,Chrome OS,Anti-glare Screen,"HD Graphics, Integrated",Intel HD Graphics,,,1087.67
hp,HP Omen,15.6 Inches,Black,512 GB,Corei7-10750H,16 GB,Windows 10,Anti-glare,Dedicated,,,4.5,1301.75
Elo,EloPOS,22 Inches,Crimson,,Core i5,8 GB,Linux,,,,,,722.88
Dell,Alienware X17 R2 Laptop,17.3 Inches,Maroon,1000 GB,Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3080,,5.0,821.54
ROKC,,15.6 Inches,Maroon,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,0.0,788.17
HP,,14 Inches,Maroon,64 GB,Celeron N4000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,0.0,385.4
HP,,15.6 Inches,Crimson,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,0.0,893.88
MSI,Vector GP66 12UGS-267,15.66 Inches,Scarlet,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5.0,652.34
MSI,Stealth GS66 12UGS-025,15.6 Inches,Crimson,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1.0,891.49
ROKC,,14 Inches,Scarlet,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,0.0,1192.47
Lenovo,ThinkPad P15 Gen 1 with Nvidia Quadro RTX 4000 Max-Q Design,15.6 Inches,Burgundy,1 TB,Core i7 Family,64 GB,Windows 10 Pro,,Dedicated,NVIDIA Quadro RTX 4000 with Max-Q Design 8GB GDDR6,,,1114.62
Lenovo,Lenovo Thinkpad,14 Inches,Black,1 TB,Core i7,24 GB,Windows 10 Pro,"Anti-glare,Fingerprint Reader,Stereo Speakers",Integrated,,,3.7,911.92
LG,14T90P-K.AAB9U1,14 Inches,Black,1 TB,Core i7 Family,16 GB,Windows 11 Home,Lightweight,Integrated,,,4.1,1096.45
Dell,Dell XPS 15 9520,15.6 Inches,Red,512 GB,Core i7,64 GB,Windows 11 Pro,,Dedicated,NVIDIA GeForce RTX 3050 Ti,,,1080.38
ROKC,,15.6 Inches,Burgundy,1152 GB,Pentium,20 GB,Windows 11,,Integrated,Intel,1.1 GHz,0.0,622.44
HP,,14 Inches,Crimson,64 GB,Celeron N4000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,0.0,1150.01
HP,,15.6 Inches,Crimson,1000 GB,Pentium N5000,16 GB,Windows 11,,Integrated,Intel,1.1 GHz,0.0,1030.7
Dell,Alienware X14 Laptop,14 Inches,Burgundy,2000 GB,Core i7,32 GB,Windows 11 Pro,,Dedicated,NVIDIA GeForce RTX 3060,,,846.41
Dell,Dell Inspiron,17.3 Inches,Crimson,2 TB,Core i7,16 GB,Windows 10 Home,,Dedicated,NVIDIA GeForce MX230,,4.5,1006.92
Dell,Latitude 5320 Laptop,13.3 Inches,Black,256 GB,Core i5,16 GB,Windows 11 Pro,Wifi & Bluetooth,Integrated,,,,1174.13
Lenovo,ThinkPad L14 Gen 3,14 Inches,,256 GB,Core i5,8 GB,Windows 11,Anti-glare Screen,UHD Graphics,Intel UHD Graphics,,0.0,731.98
Dell,Latitude Rugged 5430 Laptop,14 Inches,Burgundy,512 GB,Core i5,16 GB,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,,916.71
Dell,Latitude 9330 2-in-1,13.3 Inches,Scarlet,512 GB,Core i7,16 GB,Windows 11 Pro,,Integrated,Intel Integrated Graphics,,,1188.18
HP,,15.6 Inches,Silver,1000 GB,Intel Core i5,64 GB,Windows 11 Pro,Backlit Keyboard,Integrated,Intel,,4.5,996.37
ROKC,Ideapad 3,15.6 Inches,Scarlet,1000 GB,Intel Core i5,20 GB,Windows 11,,Integrated,Intel,,0.0,1104.5
DELL,Inspiron,16 Inches,Maroon,1000 GB,Intel Core i5,32 GB,Windows 11,,Integrated,Intel,,0.0,1093.88
MSI,Vector GP66 12UGS-267,15.66 Inches,Maroon,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,,1.8 GHz,5.0,1027.99
MSI,Stealth GS66 12UGS-025,15.6 Inches,Scarlet,,Intel Core i9,32 GB,Windows 11 Home,,Dedicated,NVIDIA GeForce RTX 3070,1.8 GHz,1.0,643.13
ROKC,,14 Inches,Burgundy,1000 GB,Intel Core i7,8 GB,Windows 11,,Integrated,Intel,1.2 GHz,0.0,1304.8
